Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1611821195,2021-01-28 03:06:35,0x0000d717,0x00008a9d,64,27,165,00:17:88:01:08:81:33:d3,ZR,ZR,1,10
1611821195,2021-01-28 03:06:35,0x00008a9d,0x0000d717,126,89,62,00:17:88:01:05:17:1e:2a,ZR,ZR,1,10
1611821195,2021-01-28 03:06:35,0x00008a9d,0x0000d717,50,13,63,00:17:88:01:05:17:1e:2a,ZR,ZR,1,10
1611821195,2021-01-28 03:06:35,0x0000d717,0x00008a9d,53,16,167,00:17:88:01:08:81:33:d3,ZR,ZR,1,10
1611821195,2021-01-28 03:06:35,0x00008a9d,0x0000d717,50,13,64,00:17:88:01:05:17:1e:2a,ZR,ZR,1,10
1611821195,2021-01-28 03:06:35,0x0000d717,0x00008a9d,53,16,169,00:17:88:01:08:81:33:d3,ZR,ZR,1,10
1611821195,2021-01-28 03:06:35,0x00008a9d,0x0000d717,62,25,65,00:17:88:01:05:17:1e:2a,ZR,ZR,1,10
1611821195,2021-01-28 03:06:35,0x0000d717,0x00008a9d,87,50,171,00:17:88:01:08:81:33:d3,ZR,ZR,1,10
1611821195,2021-01-28 03:06:35,0x0000d717,0x00008a9d,64,27,173,00:17:88:01:08:81:33:d3,ZR,ZR,1,10
1611821195,2021-01-28 03:06:35,0x00008a9d,0x0000d717,126,89,66,00:17:88:01:05:17:1e:2a,ZR,ZR,1,10
